categoria,porcentagem
OPEN SOURCE,0.46403712296983757
MOBILE,0.23201856148491878
JAVA,22.505800464037122
SOFTWARE ENGINEERING,3.7122969837587005
INTERNET,9.744779582366588
WEB DEVELOPMENT,3.944315545243619
MISCELLANEOUS,0.46403712296983757
MICROSOFT .NET,7.888631090487238
MICROSOFT,1.8561484918793503
NEXT GENERATION DATABASES,0.23201856148491878
POWERBUILDER,1.6241299303944314
CLIENT-SERVER,2.5522041763341066
COMPUTER GRAPHICS,1.3921113689095126
OBJECT-ORIENTED PROGRAMMING,0.9280742459396751
S,0.23201856148491878
NETWORKING,1.6241299303944314
THEORY,1.6241299303944314
PROGRAMMING,2.784222737819025
PYTHON,1.3921113689095126
MOBILE TECHNOLOGY,1.3921113689095126
BUSINESS,2.784222737819025
P,0.23201856148491878
XML,0.9280742459396751
PERL,1.3921113689095126
MICROSOFT/.NET,0.23201856148491878
MISCELLA,0.23201856148491878
OBJECT-TECHNOLOGY PROGRAMMING,0.23201856148491878
,0.46403712296983757
.NET,0.23201856148491878
ALGORITHMIC ART,0.23201856148491878
PHP,0.23201856148491878
SOA,0.23201856148491878
COMPUTER GRAPH,0.23201856148491878
CLIENT SERVER,0.23201856148491878
IN ACTION,0.23201856148491878
SOFTWARE DEVELOPMENT,0.23201856148491878
